JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism,p99_latency
4076,3485,1,1,0.4,512,0.5,64,1757,1,3,1,10240916,79,63,1157,1673,10,11,0,0,18,7,6,1,151,0.7,10,586.26
4942,3483,5,1,0.4,64,0.3,128,2095,5,3,5,6884341,69,66,1135,2726,11,13,0,0,15,8,6,1,134,0.7,40,842.83
3733,3200,4,1,0.4,32,0.1,512,3816,4,3,4,9595116,51,99,1808,1244,17,12,1,0,9,4,4,0,158,0.6,40,991.42
1541,3052,1,0,0.4,256,0.3,512,4096,1,3,1,9408181,86,68,1253,3922,6,15,1,1,16,2,7,0,148,0.5,10,858.86
3035,3108,4,1,0.4,128,0.3,256,2084,4,4,4,11043951,89,73,1442,2943,9,15,1,0,21,9,5,0,138,0.6,10,1087.42
4771,5935,1,0,0.5,32,0.1,256,3514,1,3,1,7089059,57,91,1548,964,14,20,1,0,22,9,1,1,123,0.5,10,578.94
5739,3677,3,0,0.8,1024,0.4,512,1266,3,4,3,7933583,97,97,1468,1439,17,15,0,1,14,5,10,1,152,0.6,10,853.67
1029,4793,1,1,0.8,256,0.1,1024,2225,1,3,1,8325104,95,67,1878,2878,17,11,1,1,9,5,2,1,137,0.8,10,910
5256,5156,3,0,0.5,256,0.4,256,1161,3,2,3,6464778,50,100,1082,2866,11,18,0,1,15,8,7,1,158,0.5,30,1050.25
4980,2326,2,0,0.8,32,0.2,32,2690,2,4,2,8819399,60,55,1598,1578,17,15,1,0,16,4,7,1,163,0.6,20,539
1988,3467,3,1,0.6,64,0.4,1024,2279,3,2,3,6218635,81,94,1992,2165,16,13,1,1,20,11,6,1,128,0.7,10,600
3445,4198,3,0,0.4,256,0.3,512,1845,3,3,3,9592591,65,50,1666,3867,20,20,0,1,9,4,8,1,130,0.5,20,344.56
4184,3300,4,1,0.4,128,0.3,116,1919,4,3,4,6758147,65,62,1097,2433,10,12,0,0,14,7,5,1,131,0.7,34,705.83
5733,3711,4,1,0.4,64,0.3,149,2299,6,4,6,6977717,72,69,1184,3211,12,14,0,0,16,9,7,1,137,0.7,40,453.49
4133,3315,4,1,0.4,128,0.3,104,1927,4,3,4,6734225,65,63,1110,2413,10,12,0,0,14,7,5,1,132,0.7,34,323.72
5462,6638,1,0,0.5,16,0.1,269,3871,1,3,1,7153049,59,99,1702,1056,15,22,1,0,24,10,1,1,124,0.5,10,858.12
4493,3651,1,1,0.4,256,0.5,62,1844,1,3,1,10944744,82,66,1180,1857,10,11,0,0,19,8,7,1,156,0.7,10,1004.62
3591,4356,3,0,0.4,256,0.3,562,1910,3,3,3,9854670,66,50,1740,4083,21,21,0,1,9,4,9,1,131,0.5,21,1196.47
5703,6815,1,0,0.5,16,0.1,302,4216,1,3,1,7335499,59,100,1724,1010,16,23,1,0,25,11,1,1,124,0.5,10,412.76
5274,6409,1,0,0.5,8,0.1,277,3890,1,3,1,7240109,58,96,1649,986,15,22,1,0,24,10,1,1,123,0.5,10,826.17
4308,5525,1,0,0.5,32,0.1,228,3184,1,3,1,6975911,56,86,1481,966,13,18,1,0,20,8,1,1,123,0.5,10,887.4
4977,6149,1,0,0.5,8,0.1,268,3693,1,3,1,7128999,57,93,1599,983,15,21,1,0,23,10,1,1,123,0.5,10,580.9
4572,5758,1,0,0.5,8,0.1,237,3342,1,3,1,7051850,57,89,1517,967,14,19,1,0,21,9,1,1,123,0.5,10,441.13
4588,5524,1,0,0.5,32,0.1,235,3252,1,3,1,6924120,56,88,1480,942,14,19,1,0,21,8,1,1,123,0.5,10,1250.98
5556,6581,1,0,0.5,16,0.1,294,3970,1,3,1,7066272,58,98,1642,954,15,22,1,0,25,10,1,1,124,0.5,10,607.3
2863,3895,3,0,0.4,32,0.2,378,1633,3,3,3,8832443,62,51,1509,3074,17,18,0,1,9,3,7,1,127,0.5,18,477.33
3985,4677,3,0,0.4,128,0.3,594,2079,3,3,3,10491978,69,50,1815,4462,23,23,0,1,9,5,9,1,132,0.5,24,1114.81
3901,4629,3,0,0.4,128,0.3,581,2057,3,3,3,10437546,68,50,1799,4399,23,22,0,1,9,4,9,1,132,0.5,23,1089.52
4876,6073,1,0,0.5,8,0.1,263,3554,1,3,1,7137852,58,93,1569,979,15,20,1,0,22,10,1,1,123,0.5,10,972.12
3133,4088,3,0,0.4,64,0.3,460,1742,3,3,3,9162480,63,49,1557,3551,19,19,0,1,9,4,7,1,129,0.5,18,978.98
