JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism,p99_latency
5723,2439,1,1,0.5,512,0.1,512,3772,1,1,1,11757633,54,80,1508,1907,12,16,1,0,20,3,4,0,124,0.7,10,17521.96
1635,3912,4,0,0.8,1024,0.4,512,1212,4,4,4,11017267,68,56,1144,2148,12,13,1,0,24,13,9,1,154,0.5,30,16003.22
4017,2468,1,0,0.6,32,0.3,256,3377,1,2,1,8342476,69,66,1985,3975,18,21,0,0,25,11,7,0,132,0.9,10,3346.42
6070,2764,2,0,0.7,128,0.1,512,3649,2,4,2,5901072,51,91,1022,3527,10,18,1,0,23,3,4,0,167,0.7,10,4561.63
4919,3175,1,0,0.5,32,0.4,64,1321,1,1,1,8952256,79,67,1263,3967,16,15,0,1,9,4,3,0,164,0.7,10,2883.09
2059,2346,5,0,0.7,1024,0.1,512,3068,5,4,5,8702575,75,92,1460,1428,20,16,1,0,15,2,4,0,158,0.7,20,4604
2029,4895,2,1,0.7,256,0.1,256,2232,2,1,2,9594272,61,64,1932,3511,20,8,1,0,23,12,2,0,163,0.8,20,15692.73
2862,2763,5,1,0.8,64,0.1,512,1975,5,4,5,7527927,92,97,1054,3030,10,16,1,0,16,6,9,1,137,0.6,40,2930
2258,2320,4,1,0.4,256,0.1,64,3530,4,2,4,10574179,60,51,1632,1025,7,14,0,1,15,8,7,1,169,0.8,10,8754.44
2481,5246,2,0,0.5,256,0.3,64,2824,2,1,2,9300786,94,97,1555,1760,15,15,1,0,25,10,3,1,169,0.9,20,4671.2
1937,3659,4,0,0.4,256,0.3,256,3910,4,1,4,9064297,86,61,1916,2247,20,17,1,1,21,4,1,0,166,0.9,20,7094.98
5238,4449,2,0,0.7,32,0.3,128,1106,2,2,2,8282583,98,54,1807,1003,10,20,1,1,9,5,5,1,152,0.5,10,7078.45
5225,2464,5,1,0.6,256,0.1,32,3333,5,4,5,9330355,95,55,1009,972,13,17,1,0,23,7,9,0,154,0.6,10,3417.65
5323,5743,4,1,0.4,64,0.2,1024,3525,4,4,4,11013931,89,86,1534,3947,19,19,0,0,16,3,6,1,165,0.8,10,2038
4554,4897,4,0,0.6,1024,0.1,128,3780,4,3,4,10797464,64,54,1613,1041,12,17,0,0,19,4,4,0,149,0.9,10,3390.43
1870,3903,5,0,0.6,1024,0.1,128,1355,5,2,5,9372125,77,84,1854,3935,6,8,1,0,13,6,5,1,167,0.5,30,2205.31
2585,5229,2,1,0.4,128,0.3,64,3415,2,2,2,6722483,89,78,1747,2790,10,13,1,0,15,3,9,1,142,0.5,10,8140.4
2093,3225,3,1,0.6,1024,0.3,32,1046,3,3,3,10075836,58,64,1148,1879,15,11,0,0,17,8,8,1,122,0.6,10,11654.88
5825,4022,4,1,0.7,128,0.2,512,3854,4,3,4,6269309,72,53,1362,1927,18,16,0,1,17,7,3,0,154,0.8,40,2009.11
4900,5697,2,0,0.5,128,0.3,32,1040,2,3,2,8254281,72,61,975,981,7,13,1,0,20,2,5,1,130,0.6,10,6339.82
1477,3441,3,0,0.7,256,0.2,128,2166,3,2,3,10519753,84,94,946,1035,10,15,1,1,17,5,5,1,145,0.8,10,13865.42
4544,4133,5,0,0.7,256,0.4,512,1219,5,3,5,11252646,98,51,1367,3976,7,14,0,1,21,5,5,1,129,0.5,10,11676.4
5458,2340,1,0,0.7,1024,0.2,32,2883,1,3,1,11719305,60,77,1623,3845,8,21,1,0,17,6,5,1,122,0.6,10,8755.8
2436,2994,4,1,0.6,512,0.5,256,1305,4,4,4,11673738,70,82,1824,3863,14,15,1,1,21,8,8,1,168,0.8,30,18275.3
2548,5960,2,1,0.7,128,0.1,512,2373,2,4,2,6506701,67,75,1000,1009,15,11,1,1,21,7,4,0,167,0.5,10,7396.38
2950,3716,1,0,0.5,32,0.5,64,3513,1,2,1,6874761,86,81,999,1976,10,20,0,0,23,3,5,0,149,0.7,10,16566.1
4313,2966,5,1,0.4,1024,0.5,32,2649,5,3,5,8559769,61,68,1186,909,11,21,0,1,25,6,5,1,150,0.7,40,3970
2077,2581,1,0,0.5,128,0.4,256,1673,1,4,1,9421456,58,83,1482,1911,12,12,1,0,19,6,9,0,147,0.5,10,14403.62
3844,4912,5,0,0.4,512,0.5,32,3697,5,3,5,10654216,80,61,1435,2814,13,12,1,0,18,9,9,0,163,0.8,30,16593.02
1536,5298,5,0,0.7,512,0.1,64,1440,5,3,5,11370926,95,82,1965,3592,7,12,0,0,11,5,1,1,170,0.9,30,14439
2424,4447,2,1,0.5,256,0.4,1024,1289,2,4,2,7714174,87,50,1170,3765,17,18,1,0,25,11,4,1,143,0.6,10,9980.66
1870,5124,1,1,0.4,64,0.2,512,3824,1,3,1,10995683,94,59,1719,3451,19,14,0,1,22,3,9,1,126,0.8,10,2963.44
4686,5451,4,0,0.5,1024,0.3,1024,2034,4,4,4,8595601,84,81,1616,2057,18,9,0,0,14,6,1,1,137,0.9,20,2205
2271,5923,5,0,0.8,512,0.5,512,3415,5,1,5,11020092,59,79,1919,1696,13,14,1,0,16,8,7,1,144,0.7,10,4108
