JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism
0.53020746,0.29512572,0.0008420665,1.0554823,-0.003794116,0.5345078,0.84686255,0.05445014,0.22535068,-0.0058317333,0.52439857,-0.0033909883,0.7642669,0.5350309,0.2363902,0.22985992,0.22084269,0.23626332,0.18955801,-0.002563612,0.0053919684,0.55251515,0.48370755,0.44719768,1.0598603,0.60113215,0.5262444,0.045281015
0.44720826,0.2580886,-0.002411779,0.90477496,-0.0017941268,0.46017608,0.72428656,0.044137836,0.191033,-0.002869971,0.44739616,-0.0025525857,0.66649467,0.4513413,0.20177788,0.19961154,0.18302643,0.2024557,0.17599016,0.00016630488,0.006078381,0.47445554,0.41350508,0.37623313,0.91051,0.5102576,0.44872332,0.040782016
0.5341581,0.29749894,0.0038255733,1.0664076,-0.0029021362,0.5384625,0.8572498,0.05691737,0.22583671,-0.0066506267,0.5291248,-0.003931904,0.774249,0.5412937,0.23836291,0.23014492,0.22339574,0.23860182,0.18837194,-0.0029711998,0.008624958,0.55992174,0.49302542,0.45378447,1.073313,0.61266637,0.53310233,0.045589592
0.44388872,0.25800365,0.0009073969,0.89373595,0.0011774888,0.4543116,0.719327,0.04258684,0.18696758,-0.0006420277,0.44794303,-0.0033861902,0.6630113,0.44554916,0.19813439,0.20016414,0.1780408,0.19788854,0.17710893,0.0034929053,0.0070639793,0.468486,0.40980244,0.37173888,0.90259993,0.50376785,0.44621283,0.04222632
0.43915418,0.25494587,-0.0024531558,0.88819176,-0.0016441243,0.45504108,0.71212703,0.04370573,0.19036508,-0.003061816,0.44214478,-0.0025895182,0.65706575,0.44113585,0.1958367,0.19720888,0.17917103,0.19800746,0.17458518,0.001542917,0.006497873,0.46690196,0.4041077,0.37033325,0.89288163,0.50088227,0.44232953,0.041158214
0.42402628,0.25053406,-0.0004062429,0.8631072,-0.0016859369,0.4415327,0.69271684,0.043346472,0.18374993,-0.0051698983,0.42758963,-0.0027789995,0.64446574,0.42718637,0.19182509,0.1924957,0.1764059,0.19603586,0.17597479,0.0019468279,0.003567487,0.45251617,0.39147156,0.35771793,0.87009084,0.48623714,0.42915213,0.038816087
0.48342076,0.27441323,0.00086002983,0.9688256,-0.00051767845,0.48960376,0.7784839,0.048769966,0.20447022,-0.0016596094,0.48204875,-0.0032270905,0.7100243,0.48693487,0.21741313,0.21398836,0.19809902,0.21536072,0.18315269,-0.00013006991,0.006457202,0.50823176,0.44546306,0.4061008,0.97560394,0.5490397,0.482683,0.04280671
0.56100136,0.31003326,0.0043240376,1.1110904,-0.0020910325,0.55928195,0.89452016,0.057925522,0.23582897,-0.004359938,0.5546971,-0.0038851257,0.80287224,0.5652426,0.2492508,0.241012,0.23275894,0.24735089,0.19541083,-0.0028808913,0.006751463,0.5827682,0.5121605,0.4736248,1.1161059,0.63568234,0.55656326,0.046906117
0.54987764,0.305859,0.0071880314,1.0913212,-9.178091e-05,0.54607606,0.8799489,0.056738578,0.2272039,-0.003685616,0.545636,-0.004201114,0.79175377,0.55639046,0.24335656,0.23604304,0.22599551,0.24198416,0.19294754,-0.0020710467,0.009079058,0.5725603,0.50706387,0.46510246,1.0995784,0.62560046,0.54667956,0.04582383
0.47560713,0.2718762,-0.0015375614,0.9564919,-0.0033216337,0.48597345,0.7656096,0.046921507,0.20340316,-0.003674958,0.47479624,-0.0028920732,0.6992528,0.47945154,0.21280628,0.20919874,0.19535974,0.21398519,0.17991662,-0.00042852527,0.005638065,0.50148904,0.43605334,0.40068504,0.96100557,0.5407379,0.4752248,0.042149182
