Type         Date       Time     Input_data_size      Duration(s)          Throughput(bytes/s)  Throughput/node     
HadoopSleep  2019-01-20 21:19:48 0                    24.080               0                    0                   
ScalaSparkSleep 2019-01-20 21:20:53 0                    62.890               0                    0                   
HadoopSort   2019-01-20 21:21:47 3287008              25.109               130909               43636               
ScalaSparkSort 2019-01-20 21:22:32 3287008              38.855               84596                28198               
HadoopTerasort 2019-01-20 21:23:30 320000000            28.486               11233588             3744529             
ScalaSparkTerasort 2019-01-20 21:24:22 320000000            45.843               6980345              2326781             
HadoopWordcount 2019-01-20 21:25:25 328502417            33.037               9943469              3314489             
ScalaSparkWordcount 2019-01-20 21:26:12 328502417            41.265               7960800              2653600             
HadoopDfsioe-read 2019-01-20 21:27:57 337405020            56.792               5941065              1980355             
HadoopDfsioe-write 2019-01-20 21:29:01 339349352            57.891               5861867              1953955             
HadoopAggregation 2019-01-20 21:31:08 3729493              54.402               68554                22851               
ScalaSparkAggregation 2019-01-20 21:32:27 3729433              70.108               53195                17731               
HadoopJoin   2019-01-20 21:35:07 19201694             84.910               226141               75380               
ScalaSparkJoin 2019-01-20 21:36:27 19201694             78.333               245129               81709               
HadoopScan   2019-01-20 21:38:42 20104750             62.410               322139               107379              
ScalaSparkScan 2019-01-20 21:40:00 20105279             68.706               292627               97542               
HadoopPagerank 2019-01-20 21:43:21 1811191              141.348              12813                4271                
ScalaSparkPagerank 2019-01-20 21:44:10 1811191              42.369               42748                14249               
HadoopBayes  2019-01-20 21:52:13 111385907            442.019              251993               83997               
ScalaSparkBayes 2019-01-20 21:53:22 111385907            62.723               1775838              591946              
HadoopKmeans 2019-01-20 21:57:36 602462607            210.556              2861293              953764              
ScalaSparkKmeans 2019-01-20 21:58:52 602462607            69.076               8721735              2907245             
LogisticRegression 2019-01-20 22:00:36 80062008             56.262               1423021              474340              
ALS          2019-01-20 22:02:12 6028880              49.146               122672               40890               
PCA          2019-01-20 22:04:38 8062008              100.409              80291                26763               
GradientBoostingTree 2019-01-20 22:06:52 408432               88.335               4623                 1541                
RandomForest 2019-01-20 22:08:21 408432               43.086               9479                 3159                
SVD          2019-01-20 22:10:32 16034800             83.797               191352               63784               
LinearRegression 2019-01-20 22:16:18 16006020600          155.046              103234011            34411337            
LDA          2019-01-20 22:22:33 96891988             325.725              297465               99155               
SVM          2019-01-20 22:24:32 800602600            65.984               12133283             4044427             
ScalaSparkNWeight 2019-01-20 22:28:03 39303454             107.388              365994               121998 
